title	text
white house syria could be preparing chemical attack	story highlights after a chemical attack on a rebel-held town in april the us retaliated with a missile strike trump said in april it was in the vital national security
bill and melinda gates how warren taught us optimism opinion)	the authors are co-chairs of the bill melinda gates foundation their 2017 annual letter from which some points in this article are adapted is available at www.gatesletter.com the opinions expressed
is mexico the world's second most dangerous country as trump says that depends	(cnn president donald trump rankled mexico again this time calling it the second deadliest country in the world in a tweet thursday afternoon he said mexico was just ranked the
zuckerberg's important message on miscarriage	story highlights mark zuckerberg announced that his wife had three miscarriages while trying to get pregnant jodi abbott eugene declercq we need to talk about pregnancy loss more there is
80-year-old woman attacked by bobcat in sunapee nh cbs boston	sunapee nh cbs Ä a new hampshire woman out trimming roses was mauled by a bobcat it was dusk when elsie dabrowski made her nightly trip to lock up the
11 the day that never ends	on september 11 2001 two filmmakers making a documentary about a new york firefighter found themselves instead documenting the attacks in lower manhattan right after the first plane crashed jules
waitress saves choking 9-year-old girl‚Äôs life in paramus cbs new york	paramus n.j cbsnewyork Ä a quick-thinking waitress saved the life of a 9-year-old girl in paramus who was choking recently as cbs2‚Äôs marc liverman reported the waitress heard the girl‚Äôs
why are so many people running for president?	story highlights why are so many people running for president julian zelizer says a spot in the national forum can boost a career and a party julian zelizer is a
qatar rift saudi uae bahrain egypt cut ties	abu dhabi uae cnn saudi arabia bahrain egypt and the united arab emirates broke off relations with qatar in the worst diplomatic crisis to hit gulf arab states in decades
bellinger doesn't know who seinfeld is not that there's anything wrong with that opinion)	mike downey is a former los angeles times and chicago tribune columnist and a frequent contributor to cnn the views expressed in this commentary are solely those of the author
qatari foreign minister and tillerson to meet	abu dhabi uae cnn united states secretary of state rex tillerson will meet with his qatari counterpart tuesday three weeks after the start of a saudi emirati bahrani and egyptian-backed
cartoon views from around the world on america's new president	tjeerd royaards is a dutch editorial cartoonist living in amsterdam netherlands he is editor-in-chief of cartoonmovement.com tjeerd royaards is a dutch editorial cartoonist living in amsterdam netherlands he is editor-in-chief
how to drink wine without removing the cork	how can you enjoy fine wine by the glass without having the rest of the bottle turn to vinegar that was the challenge greg lambrecht set out to solve when
richmond california paying kids not to kill	richmond california cnn the four teens kick back and talk openly with their mentor they discuss job opportunities the need for support and the possibility of a trip out of
milan design week 2017 luxury redefined in 8 new objects	the three shows provided an appropriate backdrop to a related message luxury within the context of design is being redefined bling is pass√© high-function trumps high-price and subtle design details
wapo fbi questioned trump's adviser at length	devlin barrett from the washington post reports that carter page president trump's former foreign policy adviser was questioned by the fbi in the russia probe.
the week in 29 photos	photos the week in 29 photos former fbi director james comey is sworn in before testifying to the senate intelligence committee on thursday june 8 one month after us president
the world is solving its problems regardless of trump opinion)	nic robertson is cnn's international diplomatic editor the opinions in this article belong to the author (cnn it's been a blistering week in london with little shade from the sun
what happens to your brain when you give up sugar	anyone who knows me also knows that i have a huge sweet tooth i always have my friend and fellow graduate student andrew is equally afflicted and living in hershey
'couple hundred isis fighters left in mosul	irbil iraq cnn only a couple of hundred isis fighters remain in mosul as a us-led coalition continues to rid the terror group from iraq's second-largest city a coalition spokesman
behind the lens with an award-winning sports photographer	(cnn clive mason fell in love with sailing photography in the early 1980s covering events while sleeping in his camper van a veteran of the last four olympic regattas the
nonprofit uses water sports to prevent youth violence	youth violence is a very real issue in nashville and there's a group working with inner city children to curb the problem nonprofit mentorship program water walkers is based in
generation x is sick of your bullshit	you're going to read this and you're going to say how is this about tech i'm gonna head you off at that pass this is a message from internet the
from homeless to high school grad bound for college	story highlights liyjon desilva finished high school in houston after being homeless for several years he received academic accolades and is going to college this autumn (cnn liyjon desilva had
these are the most climate-damaging foods	photos 10 common climate-damaging foods in the american diet beef Ä animal agriculture is reducing beef consumption is an effective way of curbing global emissions according to the nrdc americans
$10k worth of camera equipment stolen from photographer at lana	thousands of dollars worth of camera equipment gone in a flash international wedding photographer jenna lee mauro told kitv she was out at lana'i lookout thursday afternoon shooting engagement photos
officer's quick action saves young hostage	watch new day and cnn newsroom each friday to see inspiring stories of officers going above and beyond the call of duty midwest city oklahoma cnn it was such a
health scare leads boxer to fight in a new way	"brooklyn new york cnn behind andre rozier's bright smile is an iron will to win ""i don't like to lose, the champion boxing trainer says i don't like my fighters"
teen dances after heart transplant surgery	chat with us in facebook messenger find out what's happening in the world as it unfolds.
supreme court will hear new jersey sports betting case	new jersey wants to legalize gambling on sports and will make its case before the supreme court the high court said tuesday that it will take up the state's challenge
bet awards 2017 biggest moments from the show	the four-hour award show was hosted by comedian leslie jones who kept the laughs coming the evening featured performances by bruno mars big sean kendrick lamar and dj khaled here
color-changing inks respond to the environment	photos iconic british design from stunning skyscrapers to flamboyant fashion perfectly formed household products to streamlined sports cars british designers have built a reputation for innovation imagination and style we
chaffetz pitches 2,500 housing stipend for lawmakers	story highlights members of congress receive an official salary of 174,000 one representative is pitching a 2,500 housing stipend washington cnn rep jason chaffetz thinks members of congress should receive
inside africa's largest solar farm	story highlights largest solar plant in southern hemisphere supplying south africa's national grid renewable energy could provide 70 of the country's power by 2040 de aar south africa cnn in
goodbye to he and she and hello to ze'?	john mcwhorter teaches linguistics american studies philosophy and music history at columbia university and is the author of the language hoax why the world looks the same in any language.
9/11 kids to terrorists you lose'	new york cnn their fathers were killed on 9/11 and 15 years later they carry a message look at us more resilient than ever to the terrorists they say you
could football help ease tensions between north and south korea?	(cnn tensions in northeast asia are among their highest in decades amid continued missile testing by pyongyang and saber-rattling from tokyo beijing and washington could sport be the solution south
human trafficking survivor's triathlon record	follow the freedom project on twitter or connect on facebook (cnn what does it sound like inside norma bastidas head the 49-year-old mother-of-two is a celebrated ultra-marathoner known to have
laquan mcdonald case three chicago officers indicted	(cnn three current or former chicago police officers were indicted tuesday on state felony charges of conspiracy in the investigation of the 2014 shooting death of laquan mcdonald former detective
transcripts	return to transcripts main page cnn transcripts for june 19 2017 note this page is continually updated as new transcripts become available if you cannot find a specific segment check
iceland is melting	(cnn the land of fire ice is on the brink fly over iceland's most famous natural wonders and discover how climate change could make it all disappear.
an island's future tied to farming crops from the past	(cnn off the coast of georgia lies a quiet island accessible only by boat and home to about 50 year-round residents all descendants of slaves sapelo island is a tangle
tate britain displays grenfell tower victim's art	london cnn a photograph by khadija saye one of the residents who died in the fire that destroyed london's grenfell tower is now on display at tate britain saye who
one dead bridge damaged during fire on interstate in jonesboro	√ one dead bridge damaged during fire on interstate in jonesboro jonesboro kfsm Ä a semi truck driver died tuesday june 27 morning after running into the base of a
on stage with the phantom of the opera'	new york city cnn almost 18 million people have watched the longest running show on broadway the phantom of the opera but none of them have seen it like this
what's really behind trump's poor person comment opinion)	story highlights president trump touted wealth of two cabinet members as part of their qualifications he said in those particular positions i just don't want a poor person. paul waldman
'power season 4 keeps you locked in suspense	(cnn no one seems trustworthy in the new season of power, least of all creator and showrunner courtney a kemp kemp is promising some shock and awe in the war
heroin crisis an emt's view from the front lines	(cnn driving through the streets of huntington west virginia with gordon merry is a stark reminder of what heroin is doing to american communities merry director of cabell-huntington emergency medical
okcupid adds feature for polyamorous users	"(cnn are you in an open relationship and looking for more love online dating site okcupid wants to make the search easier for you ""couples linking is a new feature"
australian majority ditches religion census shows	(cnn australia is becoming older and more diverse both culturally and religiously according to new data from the country's census while the first census in 1911 found the average australian
health care bill shameful, harmful, medical groups say	(cnn republicans may be jubilant that revamped health care legislation finally passed the house on thursday but many of the professional associations that represent america's health care workers are clearly
the rise of the prefab home	(cnn from gold-rush california to post-blitz london prefabricated or prefab housing has experienced a few booms throughout history particularly when society is in need of quick and cheap living solutions
blind skier races up to 70 mph	(cnn danelle umstead can't see when she skis down a mountain instead the visually impaired alpine ski racer relies on her husband and guide rob to get her down safely
cheick tiote memorial service to be held for ivory coast star	story highlights memorial service to be held for cheick tiote beijing enterprises player collapsed in training june 5 made over 50 international appearances for ivory coast (cnn chinese club beijing
guns kill nearly 1,300 us children each year	(cnn rambunctious third-graders filled a classroom in seattle on a crisp autumn day one of the students dropped his backpack and horror ensued that student had brought a parent's gun
callan evil losers' really president trump?	story highlights paul callan after a horrific attack in britain the best label trump can come up with for terrorist is evil loser? the term is a well-worn insult from
more women are signing up to run but will they succeed?	kelly wallace is cnn's digital correspondent and editor-at-large covering family career and life read her other columns and follow her reports at cnn parents and on twitter kellywallacetv (cnn republican
could these stacked homes solve hong kong's housing crisis?	(cnn with space at a premium hong kong architects have for the past 60 years been tasked with building upwards not outwards while that's unlikely to change anytime soon this
hospice at age 4	(cnn we enrolled our daughter in hospice when she was 4 the age when most kids start preschool julianna had a severe form of cmt a neuromuscular disease and the
house russia investigators interview john podesta	story highlights john podesta was hillary clinton's 2016 presidential campaign chairman house investigators sent out invites last week to six witnesses (cnn hillary clinton's 2016 presidential campaign chairman john podesta
my argument with justice antonin scalia opinion)	sister helen prejean a sister of st joseph ministers to prisoners on death row she is the author of dead man walking the views expressed are her own (cnn i'm
listening for the amphibian apocalypse	john d sutter is a columnist for cnn opinion who focuses on climate change and social justice follow him on snapchat facebook and email this story is part cnn's vanishing
what a shot 33 amazing sports photos	photos what a shot 33 amazing sports photos kevin durant waves to the crowd in oakland california during the golden state warriors victory parade on thursday june 15 durant was
johnny depp when was the last time an actor assassinated a president?'	"(cnn johnny depp has apologized for a remark he made about assassination ""i apologize for the bad joke i attempted last night in poor taste about president trump, he said"
south of the border us expats have a different take on mexico	san miguel de allende mexico cnn while politicians in washington debate building a wall between the united states and mexico americans who've moved south of the border have a different
sources disabled work program mired in fraud	(cnn the nation's premier federal program that provides work for people who are severely disabled is mired in widespread corruption financial fraud and violations of the law numerous sources tell
heroin in america the scarring of the next generation	huntington west virginia cnn sara murray tends to two dozen babies in the neonatal therapeutic unit at cabell huntington hospital they shake they vomit their inconsolable high-pitched screams pierce the
the home of wealth in africa	story highlights wealth per capita more than double closest rival favorable business environment and luxury lifestyle key zimbabwe and nigeria see declines (cnn the wealthiest people in africa are strolling
60 uk high-rises fail fire safety tests after grenfell disaster	london cnn at least 60 high-rise buildings across the uk have failed safety tests in the wake of the catastrophic fire that swept through grenfell tower in west london on
prescription heroin gets green light in canada	story highlights health canada will allow doctors to prescribe heroin as treatment for severely addicted people the trudeau government will sponsor a summit to address the issue of opioid addiction
the suitcase to consider when you're going away	not many successful businesses start with a luggage fail but when jen rubio called her friend and former colleague steph korey for advice on a replacement suitcase they quickly spotted
k-pop superstar cl on her fight to break america	this documentary was commissioned by cnn style and directed by award-winning filmmaker dave meyers (cnn her videos on youtube are viewed by millions american fashion designers alexander wang and jeremy
america's only metric road	only three nations do not use the metric system today myanmar liberia and the united states but calling america a nonmetric nation is somewhat of a misnomer the united states
u.s conducts precision airstrikes iin somalia under expanded authority	story highlights us africa command eight al-shabaab militants killed strike was first under expanded authority approved by president trump in march atlanta cnn the pentagon said it conducted an air
eating fried potatoes linked to higher risk of death study says	(cnn how your spuds are cooked is key to your health people who eat fried potatoes two or more times a week double their risk of an early death compared
robots attend school in place of sick kids	"springvale maine cnn leslie morissette's son graham was 6 years old when he was diagnosed with leukemia ""we spent two years pretty much in and out of the hospital, morissette"
new tower will have london's first climbing window'	photos the best places to work 22 bishopsgate london by plp architecture Ä in the city of london staying fit and healthy is an important part of the fast-living culture
the kurdish women fighting isis	story highlights jacob russell's intimate photo essay follows kurdish female fighters he says the images of these peshmerga have an important social political role cale salih is a visiting policy
bill cosby says he isn't planning a sexual assault tour'	"story highlights bill cosby's publicists had said he would speak at town halls this summer ""i just don't think the timing is right, his attorney said (cnn bill cosby is"
ivanka trump spotlights global human trafficking	washington cnn ivanka trump who serves as a top adviser to president donald trump used her platform tuesday to shine a light on human trafficking which she called an ugly
how nasa recreates the wonders of space on earth	(cnn nasa's jet propulsion laboratory jpl) a cluster of concrete 1970s-style buildings nestled among the san gabriel mountains in pasadena is the birthplace of some of humanity's most astounding achievements
savannah georgia southern charm deadly streets	savannah georgia cnn shoppers happily stroll the sidewalks of savannah's open-air city market the sweet smell of freshly made pralines provides an inviting aroma across the historic district and horse-drawn
gun violence studies based on flawed data research says	(cnn researchers and some media reports have suggested a so-called medical triumph is happening in american hospitals because homicide rates have decreased despite a rise in gun violence but the
gop senators meet with trump on health care	chat with us in facebook messenger find out what's happening in the world as it unfolds.
the slants show full meaning of free speech opinion)	story highlights jeff yang freedom of expression and protection of the oppressed can coexist people should follow the slants example and do the work to defend them both jeff yang
mindful eating losing weight by being aware of your hunger	kathryn hutchinson a 52-year-old retired teacher was accompanying her father to a doctor's appointment last year when his doctor recommended that hutchinson make an appointment of her own hutchinson was
the massacre that didn't happen	waseca minnesota cnn john david ladue cradled the homemade bomb in a tree not far from school it was summer 2013 and classes were out the perfect time to test
scottish government shelves plans new independence vote	story highlights calls for fresh referendum on scottish independence put on hold scottish national party leader nicola sturgeon says she will revisit plans later next year (cnn scottish national party
help iraqis displaced by fight for mosul	story highlights aid groups are helping civilians fleeing the embattled city of mosul mosul is the largest city under isis control (cnn in 2014 isis captured mosul iraq's second-largest city
what fdr knew about the ringling bros circus opinion)	val lauder a former reporter for the chicago daily news and lecturer at the school of journalism and mass communication at the university of north carolina-chapel hill is the author
can sitting cancel out the benefits of exercise?	story highlights research shows that prolonged sitting may be harmful even if you exercise regularly at work stand for a few minutes every half-hour perhaps during phone calls coffee breaks
hummus with pine nuts recalled amid listeria fears	story highlights three brands of hummus made by house of thaller are being recalled the pine nuts may be contaminated with listeria listeria can cause serious illness especially in pregnant
david axelrod a surprise request from justice scalia	story highlights the former senior adviser to president obama recalls when scalia asked for the appointment of a justice who is a stalwart liberal scalia knew obama wouldn't pick a
the forgotten victims of gun violence	'too afraid to ask a brother's death at columbine 1999 left alone with her parents christine mauser worked hard not to fall apart if she had to she tried to
managing side effects of multiple sclerosis treatment	managing side effects of multiple sclerosis treatment by christopher iliades md was this helpful 2 multiple sclerosis ms drugs developed over the last two decades can change the course of
greyfield inn chef stays true to cumberland's roots cnn.com	lyric lewin cnn Ä updated 16th march 2017 cumberland island cnn Ä when whitney otawka walked into a restaurant in berkeley to apply for a job waiting tables she couldn't
how to put a stop to north korea's brazen impunity opinion)	john sifton is the asia advocacy director at human rights watch the opinions expressed in this commentary are his (cnn the death of otto warmbier a 22-year-old student from ohio
president stephen colbert in 2020 opinion)	dean obeidallah a former attorney is the host of siriusxm radio's daily program the dean obeidallah show and a columnist for the daily beast follow him deanofcomedy the opinions expressed
compression tights do they make you a better runner?	story highlights compression tights don't help runners go farther or faster according to a new study they may provide a mental boost which can be just as important for a
premature baby's mom writes poem to hospital staff	(cnn maegan sheiman and her husband josh just wanted to have a baby but it was never going to be that simple the quest to grow their family has been
the shell-shocked white working class opinion)	stephanie coontz teaches history at evergreen state college and wrote the newly revised the way we never were american families and the nostalgia trap the opinions expressed in this commentary
david axelrod barack obama's legacy can't be erased	david axelrod is cnn's senior political commentator and host of the podcast the axe files he was senior adviser to president barack obama and chief strategist for the 2008 and
panama ditches taiwan in favor of beijing	(cnn taiwan has expressed deep anger and regret after losing one of its few diplomatic allies deepening the island's international isolation china announced tuesday that it had established ties with
should dating apps have hiv and other std filters?	(cnn after uploading those carefully selected profile photos and writing a well-crafted personal bio for a dating app you're now thinking what type of person am i actually looking for?
the abolitionist fighting to free mauritania's slaves	london cnn a modest office block squeezed between a doctor's surgery and a south london housing project is an unlikely setting to find a man described on time's most recent
qatar crisis is a mess the middle east could do without opinion)	chris doyle is the director of the council for arab-british understanding a london-based nongovernmental organization the opinions expressed in this article belong to the author (cnn the middle east is
canadian climate change study cancelled because of climate change	story highlights arctic sea ice has traveled farther south than normal along newfoundland's northeast coast an icebreaker has been repeatedly diverted to take part in rescue operations (cnn a 17
colorado dad aims to ban smartphone sales to preteens	(cnn a colorado father is petitioning to make the sale of smartphones for children under 13 illegal in his state after witnessing his young sons addictive behaviors toward the technology
millions could lose insurance under republican obamacare repeal bill s&p reports	up to 10 million people could lose coverage under the republican legislation to repeal major portions of obamacare according to a new s&p global report the bill unveiled earlier this
non-cow milk linked to shorter kids study suggests	(cnn children who drink dairy alternatives like soy almond or rice milks are slightly shorter than their peers who drink cow's milk according to a new study the study published
donald trump brings out the worst in people	frida ghitis is a world affairs columnist for the miami herald and world politics review and a former cnn producer and correspondent follow her fridaghitis the opinions expressed in this
the mask that allows firemen to see though smoke	if you think it's the flames or the heat that's understandable those are dangerous too but both from a victim's and a firefighter's perspective the deadliest enemy is smoke smoke
the truth about the white working class a mosaic	washington cnn on the surface ann bryant and jennifer gibson could not be more alike both are white women without college degrees both live in north carolina both think america's
steve scalise released from intensive care unit	story highlights scalise has made good progress and is out of the intensive care unit alexandria shooting victim matt mika is also in good condition and expected to make full
the real terror threat in america is homegrown	story highlights orlando mass killing fits grim pattern of homegrown terrorism writes peter bergen since 9/11 every attack on u.s soil was carried out by citizen or legal permanent resident
review the beguiled serves up old-fashioned charms	(cnn the beguiled has a throwback feel that goes beyond its debt to the creepy 1971 film starring clint eastwood writer-director sofia coppola has produced a small-scale movie that exalts
older dads have geeky sons study says	story highlights male children with older fathers are more likely to be geeky according to a new study the study found that being geeky is 57 inherited from the parents
why we can't stop body-shaming	good luck to you these days any sign of body imperfection particularly being overweight will bring down the wrath of society that is the internet in recent weeks comedian amy
loren james hollywood stuntman dead at 85	(cnn legendary stuntman and stunt coordinator loren janes who doubled for steve mcqueen for the actor's entire career as well as for paul newman jack nicholson and even debbie reynolds
sarah palin sues new york times	sarah palin has sued the new york times for defamation the former alaska governor and vice presidential candidate filed a lawsuit against the times on tuesday alleging that a recent
how our trash is destroying paradise	midway atoll north pacific ocean cnn the distance from humanity yawns out in front of you when you stand on the pale sands of this tiny pacific island midway atoll
running for Ä not from Ä mental illness	6 people 3,100 miles 5 million steps meet the runners crossing the country with a message of hope for those suffering from depression addiction and other disorders by cnn photographs
uk reveals plans for eu citizens after brexit	london cnn british prime minister theresa may has revealed details of her proposals for the rights of eu citizens hoping to remain in britain after the country's departure from the
'dry drowning story saves another boy	story highlights gio vega age 2 was saved from dry drowning this week his father read the story of frankie delgado and rushed his son to the doctor (cnn the
moderate drinking may alter brain study says	(cnn drinking in moderation can help our health some research has showed many doctors recommend a glass of wine or beer a night as part of diet plans such as
how radical tattoos helped her fight breast cancer	"""i was only 36 years old and i was single, she said i just couldn't process anything he was saying. she worked full-time as a special-education teacher in new jersey"
bella bond trial gives disturbing glimpse into heroin addiction	(cnn michael mccarthy is the only person on trial for the murder of bella bond the 2-year-old toddler whose body was found in a trash bag two years ago near
sleep apnea treatment is crucial experts say	fisher also had cocaine methadone ethanol and opiates in her system sleep apnea is when a person stops breathing while sleeping for 10 seconds to a minute or longer this
in sessions hearing gop senators sought truth dems sought to wound trump opinion)	alice stewart is a cnn political commentator and former communications director for ted cruz for president the views expressed in this commentary are solely those of the author (cnn a
one td allowed ever undefeated usa women's tackle football team wants respect	image via usa football her father mike coaches the howard university football team and her brother brandon has a super bowl ring but neither man inspired kristen london to start
extreme course obstacle races for families	story highlights some race organizers offer shorter and less challenging routes just for the kids to race the family can bond by training together and finishing the race this story
school fundraising letters signed by fictitious boy	story highlights st joseph's indian school raises over 50 million annually from donations it sends waves of mailings across the country asking for help a native american leader denounces the
where are you really from try another question opinion)	tanzina vega covers race and inequality for cnn money follow her on twitter tanzinavega the opinions expressed in this commentary are her own (cnn for many americans making small talk
damien hirst accused of copying african art	story highlights hirst's latest exhibition features a golden head reminiscent of ancient african art exhibition curator says the ife kingdom is referenced and the show tells a story (cnn english
george takei on this remembrance day i hear terrible echoes of the past	george takei is an actor and activist his broadway show allegiance screens across cinemas in the united states on the day of remembrance february 19 follow him on twitter georgetakei
11 children what can they teach us?	about the series cnn worked with tuesday‚Äôs children an organization formed after the 9/11 terrorist attacks to interview and survey dozens of teens and young adults who lost a parent
italian white truffles on the hunt in tuscany's hills cnn.com	words by maureen o'hare cnn video by leila hussain for cnn Ä updated 23rd march 2017 editor's note Ä (cnn Ä on a misty italian morning we crunch our way
tesla car doors can be hacked	hackers can unlock a high-tech tesla car door by using the same run-of-the-mill techniques they use to crack open computers that's according to security researcher nitesh dhanjani who spoke about
sniper hits isis target from over 2 miles away	story highlights the unnamed marksman was part of canada's elite joint task force 2 special operations unit a shot from 3,540 meters or about 2.2 miles would eclipse the previous
5 faqs about immunotherapy for renal cell carcinoma	5 faqs about immunotherapy for renal cell carcinoma by jennifer l.w fink rn bsn was this helpful 9 kidney cancer is one of the 10 most common cancers in both
when it comes to health care which country does it best?	(cnn in a doctor's waiting room in south london sit three people of varying ages and ethnicities waiting among a sea of empty green plastic chairs it's tuesday afternoon in
could this smog-eating tower end pollution in china?	beijing china cnn one of the 21st century's bleakest problems air pollution leads to the premature death of 3 million people every year according to a study published in the
chernobyl monitoring system hit by global cyber attack	(cnn the automatic radiation monitoring system at the chernobyl nuclear power plant was hit by a cyberattack tuesday and monitoring was being carried out manually according to a ukrainian federal
otto warmbier's family declines autopsy	story highlights no conclusions drawn about cause of death pending additional review coroner's office says otto warmbier died days after he was returned to united states from north korea (cnn
raising a good person in a digital world	as parents we have many hopes for our kids we want them to grow up to live happy successful lives we hope they'll find love maybe have kids of their
negotiation nation brexit means britain needs to rethink over 600 treaties	the u.k must rethink 600 treaties britain is marching itself out of the european union a divorce with major implications for trade and the country's economy one consequence leaving means
celebrating eid a healthy way to break the fast	photos a perfect feast to break the fast but after prolonged periods of fasting some strategic eating may prove beneficial in order to enjoy the multitude of food on offer
'how modern slavery is destroying the environment'	we all know that transportation contributes to climate change cars buses airplanes all the different ways we move around powered by fossil fuels push co2 into the air anything we
nick fairley out for 2017 with heart condition career could be over	joe robbins/getty images the new orleans saints announced monday they placed defensive tackle nick fairley on the reserve/non-football illness list which ended his 2017 season fox sports jennifer hale reported
cnn opinion's best of 2016	(cnn amid the twists and turns of a tumultuous year readers came to cnn opinion for context insight and fresh perspectives on politics and social issues worldwide the presidential election
cartoon views from around the world	photos the first 100 days of trump's presidency lichuan xia is an editorial cartoonist and graphic designer in china hide caption 1 of 12 photos the first 100 days of
the old man and the bee	john d sutter is a columnist for cnn opinion who focuses on climate change and social justice follow him on snapchat facebook and email this story is part of cnn's
cancer survivor republican has change of heart on obamacare	story highlights tiffany koehler we all want to thrive and make america great again koehler's cancer care and treatment so far has cost more than 1 million hartford wisconsin cnn
naval station norfolk largest navy base in the world turns 100	please enable javascript to watch this video norfolk va the world's largest navy base naval station norfolk is celebrating 100 years of service to the country on june 28 1917
irs scam costing victims 15 million	(cnn they are very convincing when they call they have a washington phone number and can cite your financial history down to the cent they say you're under investigation in
'from the ashes, nobody speak mine politics of coal free press	two topics very much in the headlines are the subject of documentaries this weekend offering deep dives into sources of conflict in donald trump's presidency from the ashes examines political
couple adopts infants with special needs 88 of them	the laundry is folded in dozens of neat stacks hundreds of shoes are tucked away dinner is cooking in several crockpots and 20 kids will soon sit down for the
otodo gbame landmark ruling gives lifeline to evicted lagos residents	story highlights lagos high court ruled that the forcible eviction of thousands of families was unconstitutional according to legal campaign group justice and empowerment initiative 30,000 families lost their homes
immigration alabama town mirrors us class divide	it's no surprise that some in albertville have trouble adjusting to the influx of immigrants restaurant owner reggie daniel says they don't even like it if you change the menu
how women in saudi arabia are using youtube to push the boundaries of social expression	with nearly half a million subscribers on youtube sajer pictured below is part of a media revolution that has seen the kingdom achieve the highest youtube watch time per capita
ways to help ongoing migrant crisis	story highlights unhcr reports at least 1,770 refugees and migrants have died this year crossing the mediterranean sea organizations like care and samaritan's purse have taken action to help (cnn
do video games lead to violence?	(cnn the 18-year old gunman who killed nine people in munich germany on friday was a fan of first-person shooter video games according to reports this detail in the unspooling
after fighting for her daughter's life mom fears gop health care bill	"""we're not deadbeats, said rebecca wood 38 who lives with her husband and daughter in charlottesville virginia wood has a message for republican lawmakers in washington who have proposed dramatic"
7 radical concept cars by industry outsiders	photos autos industry outsiders intriguing new concepts tesla t1 Ä six students from the ied barcelona design school were tasked with creating a futuristic race car for the 2030 le
poisoned teens struggle to eat walk	(cnn as two delaware teens recovering from pesticide poisoning struggle to eat walk and sit up on their own an investigation into what went wrong highlights failures on several levels
